settlement_id,batch_id,line_type,payment_id,refund_id,gross,fee,tax,net,settled_event_date
SET_1348F4BE3CEC,BAT_8C35832FBD31,payment,PAY_A6B6DE12C61F,,14158.94,283.18,50.97,13824.79,2026-09-16
SET_1454CD9AD9C4,BAT_D66001038576,payment,PAY_0BFF00387CAD,,2758.76,0.00,0.00,2758.76,2026-09-14
SET_18051B03A268,BAT_488D46B24240,payment,PAY_4097D1E4D1B4,,6103.02,143.42,25.82,5933.78,2026-09-16
SET_18EB4607BAA7,BAT_9952F1823E49,payment,PAY_FE239CF292FC,,22706.91,0.00,0.00,22706.91,2026-09-16
SET_192931E5AFB7,BAT_488D46B24240,payment,PAY_CBF748B6FC6C,,2395.08,0.00,0.00,2395.08,2026-09-16
SET_193D0ACC6262,BAT_8C35832FBD31,payment,PAY_EDBFE41DBB38,,21784.44,0.00,0.00,21784.44,2026-09-16
SET_198F79E9C0A8,BAT_5DD8CF6BB1B7,payment,PAY_AC8F81D8374E,,13396.62,241.14,43.41, 13112.07 ,2026-09-14
SET_1A6A9D22E123,BAT_8C35832FBD31,payment,PAY_9B871B6B98CA,,8841.00,154.72,27.85,8658.43,2026-09-16
SET_1BD53307BA1A,BAT_9952F1823E49,payment,PAY_A650D92D3AAF,,11476.98,206.59,37.19,11233.20,2026-09-16
SET_1C040129A24B,BAT_8C35832FBD31,payment,PAY_8C7CFAD1D3FE,,7722.13,154.44,27.80,7539.89,2026-09-16
SET_1C43E31D86D0,BAT_9952F1823E49,payment,PAY_526E29D840CF,,23037.88,414.68,74.64,22548.56,2026-09-16
SET_1D5FA62EA6D4,BAT_488D46B24240,payment,PAY_31D7AAE25AC0,,3038.35,0.00,0.00,"3,038.35",2026-09-16
SET_1E710540817F,BAT_8C35832FBD31,payment,PAY_5AE05B626727,,23484.43,410.98,73.98,22999.47,2026-09-16
SET_20D011C9F9F8,BAT_9952F1823E49,payment,PAY_09EF9B787774,,41984.53,818.70,147.37,41018.46,2026-09-16
SET_230232056F0C,BAT_8C35832FBD31,payment,PAY_F08093FA2CF0,,16903.10,338.06,60.85,16504.19,2026-09-16
SET_24FD153E5252,BAT_488D46B24240,payment,PAY_7D93D97428BD,,897.12,0.00,0.00,897.12,2026-09-16
SET_2600F199E6A6,BAT_488D46B24240,payment,PAY_A60BDF158E05,,1185.13,22.52,4.05,1158.56,2026-09-16
SET_26697019C1D4,BAT_9952F1823E49,payment,PAY_96A7F1DCCA91,,10852.03,173.63,31.25,10647.15,2026-09-16
SET_287A16A4A5EB,BAT_8C35832FBD31,payment,PAY_C88CD06AD74D,,5552.07,111.04,19.99,5421.04,2026-09-16
SET_2B707CA894AF,BAT_488D46B24240,payment,PAY_B374E94EDC9A,,5981.70,0.00,0.00,5981.70,2026-09-16
SET_2BBA66347640,BAT_8C35832FBD31,payment,PAY_751970569A61,,22358.92,469.54,84.52,"21,804.86",2026-09-16
SET_2C695357A6D6,BAT_488D46B24240,payment,PAY_DC050E9C3A87,,7173.98,168.59,30.35,6975.04,2026-09-16
SET_2C791E4E7D2C,BAT_9952F1823E49,payment,PAY_925721FD9BD9,,34771.54,0.00,0.00,34771.54,2026-09-16
SET_2CB28B7A805B,BAT_8C35832FBD31,payment,PAY_A011A61A1F9E,,5746.96,114.94,20.69,5611.33,2026-09-16
SET_2D25366F0FC7,BAT_8C35832FBD31,payment,PAY_CC3848320311,,8402.68,176.46,31.76,8194.46,2026-09-16
SET_2EE12A4E0FC6,BAT_488D46B24240,payment,PAY_5FFCEE02C904,,1986.16,0.00,0.00,1986.16,2026-09-16
SET_2F815B4CDB3B,BAT_488D46B24240,payment,PAY_8139B21296FF,,2155.52,40.95,7.37,2107.20,2026-09-16
SET_2FC4E52AC02B,BAT_9952F1823E49,payment,PAY_92CC983699E2,,3425.04,61.65,11.10,3352.29,2026-09-16
SET_314D1383D940,BAT_9952F1823E49,payment,PAY_B2DFD1EF4D1F,,23683.05,426.29,76.73,23180.03,2026-09-16
SET_315701F36F07,BAT_488D46B24240,payment,PAY_3DC7C82B1738,,5009.13,117.71,21.19,4870.23,2026-09-16
SET_34DFEBF60AC0,BAT_488D46B24240,payment,PAY_A8668103FD0C,,6561.82,0.00,0.00,6561.82,2026-09-16
SET_366D46DD2932,BAT_8C35832FBD31,payment,PAY_CFD715CA44F8,,15088.94,301.78,54.32,14732.84,2026-09-16
SET_369613E1022E,BAT_8C35832FBD31,payment,PAY_24EFF97894F7,,1145.78,0.00,0.00,1145.78,2026-09-16
SET_3721B4920810,BAT_9952F1823E49,payment,PAY_7F2263745427,,3998.26,71.97,12.95,3913.34,2026-09-16
SET_381D14A43798,BAT_488D46B24240,payment,PAY_35597D2EE349,,7849.77,184.47,33.20,7632.10,2026-09-16
SET_38745EA112BD,BAT_8C35832FBD31,payment,PAY_CAD9CFFCDDFF,,24409.28,512.59,92.27,23804.42,2026-09-16
SET_3898317A2329,BAT_8C35832FBD31,payment,PAY_2A4FBD064B12,,21666.39,433.33,78.00,21155.06,2026-09-16
SET_3C37E287666E,BAT_8C35832FBD31,payment,PAY_51E56D84F345,,18560.88,371.22,66.82,18122.84,2026-09-16
SET_3DC86BA9B61B,BAT_488D46B24240,payment,PAY_348EC1C32070,,1787.27,0.00,0.00,1787.27,2026-09-16
SET_3F44AAD0A26C,BAT_8C35832FBD31,payment,PAY_26BED318A40D,,19668.64,0.00,0.00, 19668.64 ,2026-09-16
SET_3FAC09ED72A7,BAT_8C35832FBD31,payment,PAY_876D0BA8DCD0,,20769.60,0.00,0.00,20769.60,2026-09-16
SET_4046D95FD526,BAT_488D46B24240,payment,PAY_6CA20E15DFB7,,3118.90,73.29,13.19,3032.42,2026-09-16
SET_41EC1C03515E,BAT_9952F1823E49,payment,PAY_76D36CAF9260,,44887.36,875.30,157.55,43854.51,2026-09-16
SET_439A3CEB34B7,BAT_EFAAE4E504CE,payment,PAY_B63DC560F93D,,36256.44,652.62,117.47,35486.35,2026-09-15
SET_45BA29B924EB,BAT_488D46B24240,payment,PAY_0846A9DB8C30,,6493.99,0.00,0.00,6493.99,2026-09-16
SET_462337EB64BE,BAT_8C35832FBD31,payment,PAY_9A8A059B248B,,18449.02,0.00,0.00,18449.02,2026-09-16
SET_46BA550AD857,BAT_9952F1823E49,payment,PAY_BE729C114328,,4019.66,72.35,13.02,3934.29,2026-09-16
SET_473638CEC241,BAT_9952F1823E49,payment,PAY_660764ADE1DD,,16828.20,302.91,54.52,"16,470.77",2026-09-16
SET_481B1CDB2351,BAT_488D46B24240,payment,PAY_C01038C5BA91,,912.48,0.00,0.00,912.48,2026-09-16
SET_485417DF4A7E,BAT_8C35832FBD31,payment,PAY_2AF020AD4153,,20941.74,439.78,79.16,20422.80,2026-09-16
SET_48DE974F29E4,BAT_9952F1823E49,payment,PAY_FF1DDF5D6FFB,,16164.72,290.96,52.37,15821.39,2026-09-16
SET_48E709522D23,BAT_488D46B24240,payment,PAY_832BE9E028DC,,6985.28,164.15,29.55,6791.58,2026-09-16
SET_4ABC90EEAFF4,BAT_8C35832FBD31,payment,PAY_47E8476125A1,,11048.72,0.00,0.00,11048.72,2026-09-16
SET_4AC6A29F8C5A,BAT_488D46B24240,payment,PAY_5042F3CA0B0F,,5564.68,0.00,0.00,5564.68,2026-09-16
SET_4AC860C0E674,BAT_9952F1823E49,payment,PAY_3B689C55E0CD,,38410.32,691.39,124.45,37594.48,2026-09-16
SET_4B298E5B4BBB,BAT_9952F1823E49,payment,PAY_5FFB9EEEBB1D,,15241.22,0.00,0.00,15241.22,2026-09-16
SET_4BB39665910B,BAT_8C35832FBD31,payment,PAY_8F28E4B03E47,,4930.58,98.61,17.75,4814.22,2026-09-16
SET_4ED75DC7028E,BAT_8C35832FBD31,payment,PAY_33073A500310,,14483.90,0.00,0.00,14483.90,2026-09-16
SET_52F06EAE7E2E,BAT_488D46B24240,payment,PAY_0277911B3ADE,,7375.31,173.32,31.20,7170.79,2026-09-16
SET_52F624160C19,BAT_8C35832FBD31,payment,PAY_81E1FED53490,,20665.82,0.00,0.00,20665.82,2026-09-16
SET_532CFF31608E,BAT_9952F1823E49,payment,PAY_225DB53206CB,,42875.59,771.76,138.92,41964.91,2026-09-16
SET_549AD9FF187A,BAT_9952F1823E49,payment,PAY_75535160E5DF,,34158.12,614.85,110.67,33432.60,2026-09-16
SET_569F974F970C,BAT_9952F1823E49,payment,PAY_E97F1AA36587,,32879.73,0.00,0.00,32879.73,2026-09-16
SET_586256C72394,BAT_9952F1823E49,payment,PAY_D5FAB5881D36,,12717.33,0.00,0.00,12717.33,2026-09-16
SET_58E1952274E8,BAT_488D46B24240,payment,PAY_F38F5AEC1717,,5231.89,0.00,0.00,5231.89,2026-09-16
SET_59C4A8046BC8,BAT_8C35832FBD31,payment,PAY_C326963C0DD0,,8334.78,0.00,0.00,8334.78,2026-09-16
SET_5A421446B35E,BAT_488D46B24240,payment,PAY_73C95143E6E7,,1183.47,0.00,0.00,1183.47,2026-09-16
SET_5C6AF6F26CEE,BAT_9952F1823E49,payment,PAY_E8397D8F71DD,,24172.02,435.10,78.32,23658.60,2026-09-16
SET_5C6F3C25DA33,BAT_8C35832FBD31,payment,PAY_9786EE12F944,,18845.66,0.00,0.00,18845.66,2026-09-16
SET_5CB9672D927F,BAT_9952F1823E49,refund,PAY_E979B50CE1CD,RFD_862A24074FBA,0.00,0.00,0.00,-18622.77,2026-09-16
SET_5D4018E1FF46,BAT_9952F1823E49,payment,PAY_27ED9AC0D568,,32482.44,0.00,0.00,"32,482.44",2026-09-16
SET_5D7ACD497AED,BAT_488D46B24240,payment,PAY_AE8C58DEE66E,,1247.97,24.96,4.49,1218.52,2026-09-16
SET_5DC123459E6E,BAT_9952F1823E49,payment,PAY_6F41A587D26A,,53568.34,964.23,173.56,"52,430.55",2026-09-16
SET_5E73E6738C11,BAT_488D46B24240,refund,PAY_005EAFAFB2E8,RFD_1FAA04695DAC,0.00,0.00,0.00,-2370.80,2026-09-16
SET_5EF6BBFAD776,BAT_9952F1823E49,payment,PAY_826D0AD3D3E0,,30835.87,493.37,88.81,30253.69,2026-09-16
SET_6148FB4DE6BD,BAT_488D46B24240,payment,PAY_12727718FC9B,,7611.11,0.00,0.00,7611.11,2026-09-16
SET_615C12B07747,BAT_488D46B24240,payment,PAY_FC24671F1F11,,6820.27,0.00,0.00,6820.27,2026-09-16
SET_620050CCF80B,BAT_9952F1823E49,payment,PAY_26C5DB44AD4D,,32874.97,591.75,106.52,32176.70,2026-09-16
SET_6238EF1A68C2,BAT_488D46B24240,payment,PAY_75D8767E6085,,5658.42,132.97,23.93,5501.52,2026-09-16
SET_6278818D49B2,BAT_488D46B24240,payment,PAY_143FB6B57863,,1084.87,0.00,0.00,1084.87,2026-09-16
SET_62EFCD223A92,BAT_9952F1823E49,payment,PAY_D40BB50B1133,,43874.93,702.00,126.36,43046.57,2026-09-16
SET_631B09FB93D7,BAT_488D46B24240,payment,PAY_1EA6E1E8E663,,2517.89,0.00,0.00, 2517.89 ,2026-09-16
SET_631F632A8936,BAT_488D46B24240,payment,PAY_75E6B21CBCBE,,2799.69,0.00,0.00,2799.69,2026-09-16
SET_63E233DAC0F7,BAT_8C35832FBD31,payment,PAY_29D7395266D1,,1345.03,26.90,4.84,1313.29,2026-09-16
SET_63E30D70143E,BAT_8C35832FBD31,payment,PAY_9354163776F4,,14915.69,0.00,0.00,"14,915.69",2026-09-16
SET_64D96EB00F8C,BAT_8C35832FBD31,payment,PAY_27441A131CFE,,18311.03,366.22,65.92,17878.89,2026-09-16
SET_652DA7BDE81C,BAT_488D46B24240,payment,PAY_F480CA75AFE4,,4597.14,0.00,0.00,4597.14,2026-09-16
SET_65566B3A289D,BAT_9952F1823E49,payment,PAY_597D0B3DFAD5,,38793.43,756.47,136.16,"37,900.80",2026-09-16
SET_66FEDEC95B06,BAT_9952F1823E49,payment,PAY_96E595F75CED,,20875.61,334.01,60.12,20481.48,2026-09-16
SET_679E8F76D57C,BAT_488D46B24240,payment,PAY_BB297F31F5AD,,6072.10,0.00,0.00,6072.10,2026-09-16
SET_68411685BE90,BAT_488D46B24240,payment,PAY_1E096950B850,,4641.30,0.00,0.00,4641.30,2026-09-16
SET_68463435A09F,BAT_9952F1823E49,payment,PAY_AEC99F6BA2B6,,15182.54,273.29,49.19,14860.06,2026-09-16
SET_6945FF83D63E,BAT_9952F1823E49,refund,PAY_8D21DB419696,RFD_0FE9FE60F600,0.00,0.00,0.00,-17609.15,2026-09-16
SET_6A943112D5D7,BAT_9952F1823E49,payment,PAY_5B7F12CD44C6,,44855.76,807.40,145.33,43903.03,2026-09-16
SET_6BCCFB019DB3,BAT_8C35832FBD31,payment,PAY_FA22E63D307C,,12974.21,0.00,0.00,12974.21,2026-09-16
SET_6C3F7DDD4D9F,BAT_488D46B24240,payment,PAY_11A70F9963BC,,7914.63,0.00,0.00,7914.63,2026-09-16
SET_6E273F7D1D09,BAT_9952F1823E49,payment,PAY_7A8D23D89E44,,32111.81,578.01,104.04,31429.76,2026-09-16
SET_6F8A2E94E1EF,BAT_9952F1823E49,payment,PAY_BF9D026C5F73,,27762.95,444.21,79.96,27238.78,2026-09-16
SET_6FC4093BDD7D,BAT_8C35832FBD31,payment,PAY_EFB771EFB0C4,,16367.65,0.00,0.00,16367.65,2026-09-16
SET_7008447F46C7,BAT_488D46B24240,payment,PAY_642D4CF25F9A,,929.05,0.00,0.00,929.05,2026-09-16
SET_71DCE4C89754,BAT_8C35832FBD31,payment,PAY_B2F201EAA0A2,,14030.93,280.62,50.51,13699.80,2026-09-16
SET_721DF96CE79D,BAT_8C35832FBD31,payment,PAY_05BA1952EF4A,,3874.06,67.80,12.20,3794.06,2026-09-16
SET_73158B6B70FF,BAT_9952F1823E49,payment,PAY_4A6A33347941,,32899.64,592.19,106.59,32200.86,2026-09-16
SET_7398BC49A5DD,BAT_8C35832FBD31,refund,PAY_4FFBCAEA65D7,RFD_EE846F8FE0D7,0.00,0.00,0.00,-20171.03,2026-09-16
SET_7598C7E73E12,BAT_5DD8CF6BB1B7,payment,PAY_ECE4C7505252,,17846.08,321.23,57.82,17467.03,2026-09-14
SET_75A145193A8D,BAT_488D46B24240,payment,PAY_DF4522DFFB6A,,3085.51,0.00,0.00,3085.51,2026-09-16
SET_76720E253F83,BAT_8C35832FBD31,payment,PAY_24FCC1B835E0,,1796.08,35.92,6.47,1753.69,2026-09-16
SET_7703DE4F793B,BAT_8C35832FBD31,payment,PAY_EAA2E0916BF6,,24715.51,0.00,0.00,24715.51,2026-09-16
SET_78068635A3B9,BAT_8C35832FBD31,payment,PAY_B70659B974FE,,12414.98,0.00,0.00,12414.98,2026-09-16
SET_786CF6A1664B,BAT_488D46B24240,payment,PAY_783BD0179FF4,,2624.75,0.00,0.00,2624.75,2026-09-16
SET_7A1419D9B1D3,BAT_8C35832FBD31,payment,PAY_BA47CEB16FE5,,8932.60,0.00,0.00,8932.60,2026-09-16
SET_7A2FDDA14324,BAT_9952F1823E49,payment,PAY_A12BEA89A5EB,,33082.55,529.32,95.28,32457.95,2026-09-16
SET_7B7B34514F5C,BAT_488D46B24240,payment,PAY_EB1E54AD9B08,,7710.48,0.00,0.00,7710.48,2026-09-16
SET_7BB17F295EC1,BAT_488D46B24240,payment,PAY_B042A9EB0E49,,1410.20,33.14,5.97,1371.09,2026-09-16
SET_7DFBD5626868,BAT_8C35832FBD31,refund,PAY_DB81D5B4810A,RFD_4CA2164F22F3,0.00,0.00,0.00,-7336.24,2026-09-16
SET_7E5A9E16BAA8,BAT_9952F1823E49,payment,PAY_D9C69A85FA41,,12854.30,205.67,37.02,12611.61,2026-09-16
SET_7E8580167DA2,BAT_9952F1823E49,payment,PAY_1961BEB6A2BD,,33955.72,543.29,97.79,33314.64,2026-09-16
SET_7F440805B9A6,BAT_8C35832FBD31,payment,PAY_BB4393A60251,,10682.92,213.66,38.46,10430.80,2026-09-16
SET_7F5454EB942C,BAT_8C35832FBD31,payment,PAY_5C8E7985C07F,,19098.65,381.97,68.75,18647.93,2026-09-16
SET_80E6739A706A,BAT_8C35832FBD31,payment,PAY_985D2FBB1BEC,,19130.99,382.62,68.87,18679.50,2026-09-16
SET_8187BD79E838,BAT_8C35832FBD31,payment,PAY_1C2E62A6339C,,15158.22,265.27,47.75,14845.20,2026-09-16
SET_82076C09A105,BAT_8C35832FBD31,payment,PAY_DB2DD47D445A,,10573.06,211.46,38.06,10323.54,2026-09-16
SET_82E24F334333,BAT_8C35832FBD31,payment,PAY_B8ACECA0D817,,15447.18,0.00,0.00,15447.18,2026-09-16
SET_83ACE749036E,BAT_8C35832FBD31,payment,PAY_AD54E74199D3,,21148.52,422.97,76.13,20649.42,2026-09-16
SET_84A17005E643,BAT_488D46B24240,payment,PAY_41C7681A7DCC,,3583.25,0.00,0.00,3583.25,2026-09-16
SET_88A0E47CBCC2,BAT_8C35832FBD31,payment,PAY_23910CDAD0E7,,24572.03,430.01,77.40, 24064.62 ,2026-09-16
SET_89270B845B8C,BAT_D66001038576,payment,PAY_367CC817A744,,1677.32,0.00,0.00,1677.32,2026-09-14
SET_895774F97458,BAT_488D46B24240,payment,PAY_0076F0E69792,,7409.32,0.00,0.00,7409.32,2026-09-16
SET_8A2FC9B86F8C,BAT_9952F1823E49,refund,PAY_108F5DC1B836,RFD_6F5FA098F6B3,0.00,0.00,0.00,-21498.08,2026-09-16
SET_8B573D543332,BAT_8C35832FBD31,payment,PAY_3A0C585514BE,,12055.59,241.11,43.40,11771.08,2026-09-16
SET_8C0E9B6C4A7D,BAT_9952F1823E49,payment,PAY_AD26AA82ED77,,4256.59,0.00,0.00,4256.59,2026-09-16
SET_8C6B689F81CF,BAT_9952F1823E49,payment,PAY_52D9C724C637,,44766.16,805.79,145.04,43815.33,2026-09-16
SET_8D2B8E128619,BAT_8C35832FBD31,payment,PAY_430D0D2F1158,,24029.18,0.00,0.00,24029.18,2026-09-16
SET_915B2FC53155,BAT_488D46B24240,payment,PAY_4B5C0197AB89,,3391.06,0.00,0.00,"3,391.06",2026-09-16
SET_91B24CF0B3FF,BAT_9952F1823E49,payment,PAY_68A65C28EB51,,5598.44,0.00,0.00,5598.44,2026-09-16
SET_92224180ADA8,BAT_ADA160D6BFE2,payment,PAY_723F38717E21,,4066.75,0.00,0.00,4066.75,2026-09-15
SET_93702AC95E5E,BAT_8C35832FBD31,payment,PAY_D1471E54EC18,,23329.87,466.60,83.99,22779.28,2026-09-16
SET_94DFC9368FA3,BAT_9952F1823E49,payment,PAY_F296E1ECBC2A,,27704.16,0.00,0.00,27704.16,2026-09-16
SET_963946D9FA8E,BAT_488D46B24240,payment,PAY_FD41F634874C,,6317.01,126.34,22.74,6167.93,2026-09-16
SET_971DD865A569,BAT_8C35832FBD31,payment,PAY_6AFB2B465DBE,,5263.72,105.27,18.95,5139.50,2026-09-16
SET_9805E3FB6AF2,BAT_488D46B24240,payment,PAY_8C13C7AC14F8,,6714.13,0.00,0.00,6714.13,2026-09-16
SET_9876F18FC114,BAT_8C35832FBD31,payment,PAY_DD5491353C8A,,2650.23,46.38,8.35,"2,595.50",2026-09-16
SET_993DCEC202B1,BAT_9952F1823E49,payment,PAY_86CC96C26658,,40692.26,0.00,0.00,40692.26,2026-09-16
SET_995046D996DE,BAT_488D46B24240,payment,PAY_31B6696DB3B6,,5972.57,119.45,21.50,5831.62,2026-09-16
SET_99EE00CB0BE4,BAT_9952F1823E49,payment,PAY_C02ED9D7C569,,36810.15,717.80,129.20,35963.15,2026-09-16
SET_99FD3D7ADDE7,BAT_8C35832FBD31,payment,PAY_8D83DDA9A74B,,6359.56,127.19,22.89,6209.48,2026-09-16
SET_9A3B0791066C,BAT_9952F1823E49,payment,PAY_97E77FD3F19E,,2948.14,47.17,8.49,2892.48,2026-09-16
SET_9B845D5BE4D9,BAT_8C35832FBD31,payment,PAY_D6FC4E08300F,,20214.68,0.00,0.00,20214.68,2026-09-16
SET_9D50D914751D,BAT_8C35832FBD31,payment,PAY_DC0DA0DE0FAA,,16985.42,339.71,61.15,16584.56,2026-09-16
SET_9F14BF3153E8,BAT_9952F1823E49,payment,PAY_418C8D8803FE,,1759.46,31.67,5.70,1722.09,2026-09-16
SET_A03A893DDCD0,BAT_9952F1823E49,payment,PAY_B16BFCFEE531,,20710.13,331.36,59.64,20319.13,2026-09-16
SET_A0BE779B1D97,BAT_8C35832FBD31,payment,PAY_BBDA524157D8,,4946.92,98.94,17.81,4830.17,2026-09-16
SET_A1890C0D04BE,BAT_9952F1823E49,payment,PAY_2E43B370AED1,,28728.28,459.65,82.74,28185.89,2026-09-16
SET_A22BE69B1C47,BAT_488D46B24240,payment,PAY_7836FF164A18,,3933.23,92.43,16.64,3824.16,2026-09-16
SET_A27D42BA0373,BAT_9952F1823E49,refund,PAY_293C974CF904,RFD_9932A2E5087F,0.00,0.00,0.00,-41974.10,2026-09-16
SET_A2FB1EA0B757,BAT_8C35832FBD31,payment,PAY_DB81D5B4810A,,13498.08,269.96,48.59,13179.53,2026-09-16
SET_A4DF59378A83,BAT_8C35832FBD31,payment,PAY_0B7B812AD0F1,,20023.08,400.46,72.08,19550.54,2026-09-16
SET_A4FE938B56F0,BAT_8C35832FBD31,payment,PAY_698246B9F2F0,,19402.80,388.06,69.85,18944.89,2026-09-16
SET_A51927DAF776,BAT_488D46B24240,payment,PAY_9F75D99136D3,,5563.37,0.00,0.00,5563.37,2026-09-16
SET_A5E40A0886DE,BAT_8C35832FBD31,payment,PAY_FF5DF0160CC0,,2680.27,53.61,9.65,2617.01,2026-09-16
SET_A921AE404D55,BAT_488D46B24240,payment,PAY_37D08ED43950,,3682.26,0.00,0.00,3682.26,2026-09-16
SET_ABA38BE950BE,BAT_488D46B24240,payment,PAY_CBEAC4F98680,,2640.25,0.00,0.00,2640.25,2026-09-16
SET_ACE72FD14436,BAT_8C35832FBD31,payment,PAY_49CD9638F288,,9996.54,174.94,31.49,9790.11,2026-09-16
SET_B30E5C154F4C,BAT_488D46B24240,refund,PAY_D434CA93EA86,RFD_6F7095B56FDA,0.00,0.00,0.00,-1389.94,2026-09-16
SET_B3889089DBDC,BAT_9952F1823E49,payment,PAY_D1F1FDEFDD1D,,5004.60,90.08,16.21,4898.31,2026-09-16
SET_B3CC6CC81CBD,BAT_9952F1823E49,payment,PAY_0856E0C66F76,,15002.99,240.05,43.21, 14719.73 ,2026-09-16
SET_B4E40E8EE8E0,BAT_9952F1823E49,payment,PAY_069BCCAD4FF7,,26818.75,482.74,86.89,"26,249.12",2026-09-16
SET_B5048B8014FA,BAT_9952F1823E49,payment,PAY_BCD199064837,,6752.27,121.54,21.88,6608.85,2026-09-16
SET_B50FCEC8C929,BAT_5DD8CF6BB1B7,payment,PAY_D9FE56C6AEEF,,45377.43,884.86,159.27, 44333.30 ,2026-09-14
SET_B5CAE8B2BBAC,BAT_9952F1823E49,payment,PAY_A64F963641AE,,26882.34,483.88,87.10,26311.36,2026-09-16
SET_B6EC79571571,BAT_9952F1823E49,payment,PAY_9B50E7454A65,,16630.24,0.00,0.00, 16630.24 ,2026-09-16
SET_B6F6982E55C5,BAT_9952F1823E49,payment,PAY_254A20866AED,,47228.39,0.00,0.00,47228.39,2026-09-16
SET_B7DCF97E3E85,BAT_488D46B24240,payment,PAY_79638F3FA795,,3051.10,71.70,12.91,2966.49,2026-09-16
SET_B9955CFB6C7A,BAT_8C35832FBD31,payment,PAY_4A19749B62E7,,20614.47,0.00,0.00,"20,614.47",2026-09-16
SET_BA43F015D569,BAT_9952F1823E49,payment,PAY_E73DFA1A8653,,4694.50,84.50,15.21,4594.79,2026-09-16
SET_BB35EBF50366,BAT_9952F1823E49,payment,PAY_C8DC53CE0422,,9157.32,164.83,29.67,8962.82,2026-09-16
SET_BB51E3FC6E65,BAT_9952F1823E49,refund,PAY_3912ED8A073C,RFD_2101571808C1,0.00,0.00,0.00,-42753.45,2026-09-16
SET_C0D547BE82C2,BAT_488D46B24240,payment,PAY_6127074E1389,,1699.55,39.94,7.19,1652.42,2026-09-16
SET_C1078C84EDB9,BAT_9952F1823E49,payment,PAY_8953AB43648E,,26127.45,418.04,75.25,25634.16,2026-09-16
SET_C7B87F00F120,BAT_488D46B24240,payment,PAY_AD0F635581C4,,1298.66,0.00,0.00,1298.66,2026-09-16
SET_C8D7C2948CDE,BAT_8C35832FBD31,payment,PAY_FBE7D49A262E,,4945.93,0.00,0.00,4945.93,2026-09-16
SET_C93609B638A8,BAT_8C35832FBD31,payment,PAY_A18CCC347BEE,,19750.77,0.00,0.00,19750.77,2026-09-16
SET_CA38D87FB336,BAT_8C35832FBD31,payment,PAY_7938982A6A89,,18672.89,0.00,0.00,18672.89,2026-09-16
